filename,char_count,success,latency_ms,flagged_additives,extracted_text_snippet
1916f761-eab8-4ca2-9bfe-5d414e31dcfc.jpeg,204,True,32203.3,Clean / None,3 3 { 8 1 5 M 1 L H 2 1 8 H [ 1 2 8 8 3  1 8 1 1 } 1 L L 0 8 { 1 8 L 1 1 H L 2 } H H | } [ h } 1 1 H} Dh P 4 0 1 { 1 2 H
20260919_155739.jpg,1615,True,40933.6,Tartrazine (FD&C Yellow 5) (E102); Sunset Yellow FCF (FD&C Yellow 6) (E110); Erythrosine (FD&C Red 3) (E127),Diciuly rider (9) Total Sugar (g) Total Protein (g) 4 2 Vitamin A 33% Vitamin € 0% Calcium O% Iron 0% 'Percent REVRNI or
20260919_155742.jpg,1611,True,36152.0,Tartrazine (FD&C Yellow 5) (E102); Sunset Yellow FCF (FD&C Yellow 6) (E110); Erythrosine (FD&C Red 3) (E127); Unknown Compound (E620J),19/ Total Sugar (g) Total Protein (g) 4 2 Vitamin A 33% Vitamin € 0% Calcium 0% Iron 0%/ 'Percent REVRNI are based on 20
20260919_155829.jpg,387,True,58819.1,Clean / None,9 2 2 8 5 [ S 3 7 4 5 5 # ! 92 8 3 2 9 2 2 8 22 2 = 6 0 5 0 9 2 3 5 8 1 3 1 5 2 1 OF 4 804 61 2 5 3 8 3 ; e}l 5 9 293 3 
20260919_155833.jpg,374,True,71247.1,Clean / None,"2 45 # 3 3 5 0 { @KX 2 2 3 6 1 8 3 L 3 3 [ U ! 8 3 & 8 8 [ 2, 5 9144 23 1 1 1 28 8 2 8 3 2 8 2 2 2 2 5 IG@ 3 8 1 8 1 1 2"
20260919_155844.jpg,1668,True,72941.8,"Erythrosine (FD&C Red 3) (E127); Sodium, Potassium and Calcium Salts of Fatty Acids (E470a)",5 s Fnt utated Kal Iotol 0 Fat (g) Trans (mg) 2 (holesterol 390 (mg) Sodium Carbohydrates (g) 20 Totol [ Fiber (g) Dieta
20260919_155940.jpg,1516,True,62593.2,"Mono- and Diglycerides of Fatty Acids (E471); Lactic Acid (E270); Potassium Phosphates (E340); Sodium, Potassium and Calcium Salts of Fatty Acids (E470a); Sodium Stearoyl Lactylate (SSL) (E481); Monosodium Glutamate (MSG) (E621); Dextrin (E1400)",Coconut Oil and Palm INGREDIENTS: of Oil Combination Powder; Dextrin; Vegetable Sugar; Choese Powder Creamer Sancheese M
20260919_155944.jpg,1685,True,67713.5,"Mono- and Diglycerides of Fatty Acids (E471); Tartrazine (FD&C Yellow 5) (E102); Citric Acid (E330); Potassium Phosphates (E340); Triphosphates (E451); Sodium, Potassium and Calcium Salts of Fatty Acids (E470a); Sodium Stearoyl Lactylate (SSL) (E481); Silicon Dioxide (Silica) (E551); Monosodium Glutamate (MSG) (E621); Dextrin (E1400)","Oil and Palm of Coconut Powder; Dextrin, EMGREDIENTS: Oil (combination Cheese Creamer Vegetable (Sugar Non-Dairy Powder "
20260919_160014.jpg,506,True,82908.9,Clean / None,8 8 6 'lHHHH lihx 1 H 1 V Ilz 2 8  5 07 1 { 1 1 | 1 9 H L HH H | 0 1 1 1 1 6 2 1 L 8 3 8 3 7 1 2 8 = 1 8 13 [ 1 17 M { 1
20260919_160218.jpg,373,True,71678.5,Clean / None,1 IQ 38 IH 2 1 1 w 1 3 2 U! 1 1 1 J# Mug Un K H 8 @ 5 I 0 | 8 HN E 5 8 @ 0 : 1 U 1 J 5 233 # < 1 1p 7 3 % 1 1 Hgk 1 2 ! 
20260919_160221.jpg,400,True,38538.5,Clean / None,IV 1 Q 38 IH L L @x 4 1 2 1 1 1 1 2 82 M 4 3 H 2 28 0 3 18 1 Vx 88 0 E 5 ; 1 1 3 U L 8 K 5' @ 0 1p 0 I H 1 K :0 { 288 2 
20260919_160248.jpg,1411,True,34679.8,Curcumin (E100); Sunset Yellow FCF (FD&C Yellow 6) (E110); Beta-Carotene (E160a); Annatto / Bixin / Norbixin (E160b); Silicon Dioxide (Silica) (E551),"INGREDIENTS: CORN; VEGETABLE OIL (PALM, SUNFLOWER, ANTIOXIDANT (TBHQJL  SEASONING (CHEESE POWDER (WHEY, CHEESE (CULTURED"
20260919_160255.jpg,1283,True,38850.7,Curcumin (E100); Sunset Yellow FCF (FD&C Yellow 6) (E110); Beta-Carotene (E160a); Annatto / Bixin / Norbixin (E160b); Tertiary-Butylhydroquinone (TBHQ) (E319); Silicon Dioxide (Silica) (E551),"doa INGREDIENTS: CORN; VEGETABLE OIL (PALM, SUNFLOWER, ANTIOXIDANT (TBHQ)I,  SEASONING  (CHEESE POWDER (WHEY, CHEESE (CU"
20260919_160351.jpg,3119,True,48766.2,"Tartrazine (FD&C Yellow 5) (E102); Sodium, Potassium and Calcium Salts of Fatty Acids (E470a); Silicon Dioxide (Silica) (E551); Monosodium Glutamate (MSG) (E621)",Tetdl eatbebe ate Dletary Fbcr Ae Syqare 09 Frctel <10 Vitamin A 307h Mtamia € 03 06 Cum 03 Ion 1 336 Miemin  01 02 335 
20260919_160353.jpg,3081,True,49260.8,"Sodium, Potassium and Calcium Salts of Fatty Acids (E470a); Silicon Dioxide (Silica) (E551); Monosodium Glutamate (MSG) (E621)",Tetel @arbehrdl Dielary Nber < Iq Suqare Fre casg MienhA 2074 Mtemi € 056 036 Lonuu 06 1 336 Mlemin] B1 B2 223 Miemin] 2
20260919_160543.jpg,2478,True,62476.1,Mono- and Diglycerides of Fatty Acids (E471); Disodium Inosinate (E631); Allura Red AC (FD&C Red 40) (E129); Brilliant Blue FCF (FD&C Blue 1) (E133); Titanium Dioxide (E171); Ascorbyl Palmitate (E304); Alpha-Tocopherol (Synthetic Vitamin E) (E307); Citric Acid (E330); Gum Arabic (Acacia Gum) (E414); Potassium Chloride (E508); Silicon Dioxide (Silica) (E551); Fatty Acids (Stearic / Palmitic / Oleic) (E570); Monosodium Glutamate (MSG) (E621); Disodium Guanylate (E627); Disodium 5'-Ribonucleotides (I+G) (E635),Just when you thought you had seen tasted every snack and imaginable comes Piattos! A along breakthrough in potalo snack
20260919_160547.jpg,2697,True,90622.2,Mono- and Diglycerides of Fatty Acids (E471); Disodium Inosinate (E631); Allura Red AC (FD&C Red 40) (E129); Brilliant Blue FCF (FD&C Blue 1) (E133); Lactic Acid (E270); Ascorbyl Palmitate (E304); Alpha-Tocopherol (Synthetic Vitamin E) (E307); Tertiary-Butylhydroquinone (TBHQ) (E319); Citric Acid (E330); Gum Arabic (Acacia Gum) (E414); Potassium Chloride (E508); Silicon Dioxide (Silica) (E551); Fatty Acids (Stearic / Palmitic / Oleic) (E570); Monosodium Glutamate (MSG) (E621); Disodium Guanylate (E627); Disodium 5'-Ribonucleotides (I+G) (E635),when you thought you had seen JJust and every snack imaginable tasted along Piattosl A breakthrough in potato comes snac
